lineItem/LineItemDescription,lineItem/UsageStartDate,lineItem/UsageEndDate,bill/PayerAccountId,lineItem/UsageAccountId,bill/BillingEntity,lineItem/UnblendedCost,pricing/publicOnDemandCost,lineItem/CurrencyCode,lineItem/ResourceId,product/ProductName,resourceTags/user:Environment
USE1-EBS:VolumeUsage.gp3,2026-06-02T12:00:00Z,2026-06-02T13:00:00Z,111122223333,444455556666,AWS,0.723164,0.933961,USD,arn:aws:elastic-compute-cloud:us-east-1:444455556666:resource/res-00016,Amazon Elastic Compute Cloud,development
USE1-Requests-HTTPS-Proxy,2026-06-02T13:00:00Z,2026-06-02T14:00:00Z,123456789012,345678901234,AWS,0.03715,0.046682,USD,arn:aws:cloudfront:us-east-1:345678901234:resource/res-00002,Amazon CloudFront,qa
Support Fee,2026-06-02T17:00:00Z,2026-06-02T18:00:00Z,111122223333,444455556666,AWS,21.687043,26.556891,USD,arn:aws:support-(business):us-east-1:444455556666:resource/res-00010,AWS Support (Business),development
USE1-LoadBalancerUsage,2026-06-02T20:00:00Z,2026-06-02T21:00:00Z,987654321098,876543210987,AWS Marketplace,1.854272,2.167566,USD,arn:aws:elastic-load-balancing:us-east-1:876543210987:resource/res-00002,Amazon Elastic Load Balancing,qa
USE1-ReadCapacityUnit-Hrs,2026-06-03T00:00:00Z,2026-06-03T01:00:00Z,111122223333,444455556666,AWS,1.400098,1.651649,USD,arn:aws:dynamodb:us-east-1:444455556666:resource/res-00008,Amazon DynamoDB,qa
USE1-BoxUsage:c5.xlarge,2026-06-03T01:00:00Z,2026-06-03T02:00:00Z,987654321098,765432109876,AWS Marketplace,3.226615,3.64223,USD,arn:aws:elastic-compute-cloud:us-east-1:765432109876:resource/res-00005,Amazon Elastic Compute Cloud,
USE1-DataTransfer-Out-Bytes,2026-06-03T02:00:00Z,2026-06-03T03:00:00Z,111122223333,444455556666,AWS,4.393623,4.465256,USD,arn:aws:elastic-compute-cloud:us-east-1:444455556666:resource/res-00001,Amazon Elastic Compute Cloud,staging
USE1-BoxUsage:t3.medium,2026-06-03T05:00:00Z,2026-06-03T06:00:00Z,987654321098,765432109876,AWS,1.211625,1.446469,USD,arn:aws:elastic-compute-cloud:us-east-1:765432109876:resource/res-00004,Amazon Elastic Compute Cloud,
USE1-Requests-Tier2,2026-06-03T07:00:00Z,2026-06-03T08:00:00Z,111122223333,444455556666,AWS,9.024955,11.851604,USD,arn:aws:simple-storage-service:us-east-1:444455556666:resource/res-00006,Amazon Simple Storage Service,production
USE1-TimedStorage-ByteHrs,2026-06-03T13:00:00Z,2026-06-03T14:00:00Z,123456789012,234567890123,AWS,3.213219,4.288457,USD,arn:aws:dynamodb:us-east-1:234567890123:resource/res-00003,Amazon DynamoDB,qa
USE1-Lambda-GB-Second,2026-06-03T15:00:00Z,2026-06-03T16:00:00Z,987654321098,765432109876,AWS,1.594117,1.914532,USD,arn:aws:lambda:us-east-1:765432109876:resource/res-00004,AWS Lambda,
USE1-Request,2026-06-03T17:00:00Z,2026-06-03T18:00:00Z,987654321098,876543210987,AWS,2.042308,2.66511,USD,arn:aws:lambda:us-east-1:876543210987:resource/res-00007,AWS Lambda,development
USE1-BoxUsage:c5.xlarge,2026-06-03T22:00:00Z,2026-06-03T23:00:00Z,123456789012,234567890123,AWS,1.473089,1.57661,USD,arn:aws:elastic-compute-cloud:us-east-1:234567890123:resource/res-00008,Amazon Elastic Compute Cloud,qa
USE1-LoadBalancerUsage,2026-06-03T22:00:00Z,2026-06-03T23:00:00Z,123456789012,234567890123,AWS,1.5439,1.886653,USD,arn:aws:elastic-load-balancing:us-east-1:234567890123:resource/res-00004,Amazon Elastic Load Balancing,staging
USE1-BoxUsage:t3.medium,2026-06-03T23:00:00Z,2026-06-04T00:00:00Z,987654321098,765432109876,AWS,1.09817,1.30997,USD,arn:aws:elastic-compute-cloud:us-east-1:765432109876:resource/res-00001,Amazon Elastic Compute Cloud,staging
USE1-ReadCapacityUnit-Hrs,2026-06-04T02:00:00Z,2026-06-04T03:00:00Z,987654321098,876543210987,AWS,4.436668,4.582836,USD,arn:aws:dynamodb:us-east-1:876543210987:resource/res-00001,Amazon DynamoDB,staging
USE1-TimedStorage-ByteHrs,2026-06-04T03:00:00Z,2026-06-04T04:00:00Z,987654321098,876543210987,AWS,9.608512,10.231567,USD,arn:aws:simple-storage-service:us-east-1:876543210987:resource/res-00011,Amazon Simple Storage Service,qa
USE1-Requests-HTTPS-Proxy,2026-06-04T08:00:00Z,2026-06-04T09:00:00Z,111122223333,444455556666,AWS,0.295477,0.298338,USD,arn:aws:cloudfront:us-east-1:444455556666:resource/res-00013,Amazon CloudFront,development
USE1-LCUUsage,2026-06-04T09:00:00Z,2026-06-04T10:00:00Z,111122223333,444455556666,AWS Marketplace,1.772084,1.97629,USD,arn:aws:elastic-load-balancing:us-east-1:444455556666:resource/res-00003,Amazon Elastic Load Balancing,qa
Support Fee,2026-06-04T10:00:00Z,2026-06-04T11:00:00Z,111122223333,444455556666,AWS,262.196682,303.72091,USD,arn:aws:support-(business):us-east-1:444455556666:resource/res-00007,AWS Support (Business),staging
USE1-DataTransfer-Out-Bytes,2026-06-04T11:00:00Z,2026-06-04T12:00:00Z,123456789012,234567890123,AWS,1.208418,1.430548,USD,arn:aws:cloudfront:us-east-1:234567890123:resource/res-00001,Amazon CloudFront,development
USE1-LCUUsage,2026-06-04T12:00:00Z,2026-06-04T13:00:00Z,111122223333,444455556666,AWS,1.235226,1.326999,USD,arn:aws:elastic-load-balancing:us-east-1:444455556666:resource/res-00009,Amazon Elastic Load Balancing,production
USE1-Requests-HTTPS-Proxy,2026-06-04T14:00:00Z,2026-06-04T15:00:00Z,111122223333,444455556666,AWS,1.231797,1.459946,USD,arn:aws:cloudfront:us-east-1:444455556666:resource/res-00002,Amazon CloudFront,
USE1-BoxUsage:c5.xlarge,2026-06-04T14:00:00Z,2026-06-04T15:00:00Z,111122223333,444455556666,AWS,1.333282,1.593433,USD,arn:aws:elastic-compute-cloud:us-east-1:444455556666:resource/res-00014,Amazon Elastic Compute Cloud,development
USE1-StorageUsage,2026-06-04T15:00:00Z,2026-06-04T16:00:00Z,987654321098,876543210987,AWS,5.638324,7.425854,USD,arn:aws:relational-database-service:us-east-1:876543210987:resource/res-00002,Amazon Relational Database Service,development
USE1-Requests-HTTPS-Proxy,2026-06-04T15:00:00Z,2026-06-04T16:00:00Z,111122223333,444455556666,AWS,1.848695,1.858548,USD,arn:aws:cloudfront:us-east-1:444455556666:resource/res-00006,Amazon CloudFront,staging
USE1-StorageUsage,2026-06-04T16:00:00Z,2026-06-04T17:00:00Z,123456789012,345678901234,AWS,4.738978,6.026313,USD,arn:aws:relational-database-service:us-east-1:345678901234:resource/res-00007,Amazon Relational Database Service,production
USE1-Request,2026-06-04T21:00:00Z,2026-06-04T22:00:00Z,111122223333,444455556666,AWS,0.845413,0.871971,USD,arn:aws:lambda:us-east-1:444455556666:resource/res-00002,AWS Lambda,production
Support Fee,2026-06-04T22:00:00Z,2026-06-04T23:00:00Z,987654321098,765432109876,AWS,255.531284,257.273758,USD,arn:aws:support-(business):us-east-1:765432109876:resource/res-00001,AWS Support (Business),production
USE1-ReadCapacityUnit-Hrs,2026-06-04T22:00:00Z,2026-06-04T23:00:00Z,123456789012,234567890123,AWS,1.068037,1.271715,USD,arn:aws:dynamodb:us-east-1:234567890123:resource/res-00005,Amazon DynamoDB,qa
USE1-Request,2026-06-04T22:00:00Z,2026-06-04T23:00:00Z,123456789012,234567890123,AWS,0.5783,0.720199,USD,arn:aws:lambda:us-east-1:234567890123:resource/res-00007,AWS Lambda,qa
USE1-BoxUsage:c5.xlarge,2026-06-05T00:00:00Z,2026-06-05T01:00:00Z,987654321098,876543210987,AWS,0.170434,0.229514,USD,arn:aws:elastic-compute-cloud:us-east-1:876543210987:resource/res-00005,Amazon Elastic Compute Cloud,
USE1-Lambda-GB-Second,2026-06-05T03:00:00Z,2026-06-05T04:00:00Z,987654321098,765432109876,AWS Marketplace,3.028804,3.84215,USD,arn:aws:lambda:us-east-1:765432109876:resource/res-00006,AWS Lambda,development
USE1-Requests-HTTPS-Proxy,2026-06-05T04:00:00Z,2026-06-05T05:00:00Z,123456789012,234567890123,AWS,1.664171,2.040627,USD,arn:aws:cloudfront:us-east-1:234567890123:resource/res-00004,Amazon CloudFront,development
USE1-ReadCapacityUnit-Hrs,2026-06-05T08:00:00Z,2026-06-05T09:00:00Z,111122223333,444455556666,AWS,4.239086,5.471125,USD,arn:aws:dynamodb:us-east-1:444455556666:resource/res-00012,Amazon DynamoDB,staging
USE1-Requests-Tier2,2026-06-05T09:00:00Z,2026-06-05T10:00:00Z,111122223333,444455556666,AWS,6.97962,8.540401,USD,arn:aws:simple-storage-service:us-east-1:444455556666:resource/res-00001,Amazon Simple Storage Service,production
USE1-BoxUsage:t3.medium,2026-06-05T11:00:00Z,2026-06-05T12:00:00Z,123456789012,345678901234,AWS,1.70725,1.97697,USD,arn:aws:elastic-compute-cloud:us-east-1:345678901234:resource/res-00003,Amazon Elastic Compute Cloud,
USE1-ReadCapacityUnit-Hrs,2026-06-05T12:00:00Z,2026-06-05T13:00:00Z,987654321098,765432109876,AWS,0.215604,0.256607,USD,arn:aws:dynamodb:us-east-1:765432109876:resource/res-00005,Amazon DynamoDB,staging
Support Fee,2026-06-05T15:00:00Z,2026-06-05T16:00:00Z,987654321098,765432109876,AWS,12.11163,12.916802,USD,arn:aws:support-(business):us-east-1:765432109876:resource/res-00003,AWS Support (Business),production
USE1-Requests-HTTPS-Proxy,2026-06-05T15:00:00Z,2026-06-05T16:00:00Z,987654321098,876543210987,AWS,1.34157,1.391751,USD,arn:aws:cloudfront:us-east-1:876543210987:resource/res-00006,Amazon CloudFront,production
USE1-Lambda-GB-Second,2026-06-06T02:00:00Z,2026-06-06T03:00:00Z,987654321098,765432109876,AWS,0.535547,0.565848,USD,arn:aws:lambda:us-east-1:765432109876:resource/res-00002,AWS Lambda,qa
USE1-LoadBalancerUsage,2026-06-06T02:00:00Z,2026-06-06T03:00:00Z,111122223333,444455556666,AWS,1.350924,1.393458,USD,arn:aws:elastic-load-balancing:us-east-1:444455556666:resource/res-00010,Amazon Elastic Load Balancing,production
USE1-BoxUsage:t3.medium,2026-06-06T04:00:00Z,2026-06-06T05:00:00Z,123456789012,234567890123,AWS,0.597779,0.601498,USD,arn:aws:elastic-compute-cloud:us-east-1:234567890123:resource/res-00005,Amazon Elastic Compute Cloud,staging
USE1-DataTransfer-Out-Bytes,2026-06-06T04:00:00Z,2026-06-06T05:00:00Z,123456789012,345678901234,AWS,2.350966,2.707824,USD,arn:aws:elastic-compute-cloud:us-east-1:345678901234:resource/res-00008,Amazon Elastic Compute Cloud,development
USE1-Lambda-GB-Second,2026-06-06T18:00:00Z,2026-06-06T19:00:00Z,987654321098,876543210987,AWS,1.363179,1.787154,USD,arn:aws:lambda:us-east-1:876543210987:resource/res-00011,AWS Lambda,
USE1-WriteCapacityUnit-Hrs,2026-06-06T19:00:00Z,2026-06-06T20:00:00Z,123456789012,345678901234,AWS,2.980613,3.365847,USD,arn:aws:dynamodb:us-east-1:345678901234:resource/res-00007,Amazon DynamoDB,production
USE1-DataTransfer-Out-Bytes,2026-06-07T01:00:00Z,2026-06-07T02:00:00Z,111122223333,444455556666,AWS,1.871039,2.210427,USD,arn:aws:elastic-compute-cloud:us-east-1:444455556666:resource/res-00013,Amazon Elastic Compute Cloud,qa
USE1-Request,2026-06-07T01:00:00Z,2026-06-07T02:00:00Z,123456789012,234567890123,AWS,2.391981,2.611166,USD,arn:aws:lambda:us-east-1:234567890123:resource/res-00004,AWS Lambda,
Support Fee,2026-06-07T04:00:00Z,2026-06-07T05:00:00Z,111122223333,444455556666,AWS,21.190628,22.020507,USD,arn:aws:support-(business):us-east-1:444455556666:resource/res-00008,AWS Support (Business),staging
USE1-Requests-Tier2,2026-06-07T05:00:00Z,2026-06-07T06:00:00Z,111122223333,444455556666,AWS,4.175991,4.412499,USD,arn:aws:simple-storage-service:us-east-1:444455556666:resource/res-00004,Amazon Simple Storage Service,qa
USE1-StorageUsage,2026-06-07T05:00:00Z,2026-06-07T06:00:00Z,987654321098,876543210987,AWS Marketplace,2.877889,3.249824,USD,arn:aws:relational-database-service:us-east-1:876543210987:resource/res-00001,Amazon Relational Database Service,
USE1-BoxUsage:m5.large,2026-06-07T06:00:00Z,2026-06-07T07:00:00Z,111122223333,444455556666,AWS,3.111503,4.107032,USD,arn:aws:elastic-compute-cloud:us-east-1:444455556666:resource/res-00003,Amazon Elastic Compute Cloud,production
USE1-BoxUsage:t3.medium,2026-06-07T08:00:00Z,2026-06-07T09:00:00Z,123456789012,345678901234,AWS,2.862155,3.819299,USD,arn:aws:elastic-compute-cloud:us-east-1:345678901234:resource/res-00002,Amazon Elastic Compute Cloud,production
Support Fee,2026-06-07T09:00:00Z,2026-06-07T10:00:00Z,111122223333,444455556666,AWS,106.620037,129.70834,USD,arn:aws:support-(business):us-east-1:444455556666:resource/res-00003,AWS Support (Business),
USE1-Lambda-GB-Second,2026-06-07T15:00:00Z,2026-06-07T16:00:00Z,987654321098,876543210987,AWS,3.119258,3.908761,USD,arn:aws:lambda:us-east-1:876543210987:resource/res-00008,AWS Lambda,staging
USE1-DataTransfer-Out-Bytes,2026-06-07T17:00:00Z,2026-06-07T18:00:00Z,987654321098,876543210987,AWS,0.568632,0.569353,USD,arn:aws:cloudfront:us-east-1:876543210987:resource/res-00002,Amazon CloudFront,
USE1-Requests-Tier2,2026-06-07T18:00:00Z,2026-06-07T19:00:00Z,111122223333,444455556666,AWS,3.886744,4.721368,USD,arn:aws:simple-storage-service:us-east-1:444455556666:resource/res-00007,Amazon Simple Storage Service,development
USE1-Lambda-GB-Second,2026-06-07T20:00:00Z,2026-06-07T21:00:00Z,123456789012,234567890123,AWS,2.690472,3.131134,USD,arn:aws:lambda:us-east-1:234567890123:resource/res-00006,AWS Lambda,qa
USE1-DataTransfer-Out-Bytes,2026-06-07T22:00:00Z,2026-06-07T23:00:00Z,987654321098,765432109876,AWS Marketplace,0.690731,0.86636,USD,arn:aws:simple-storage-service:us-east-1:765432109876:resource/res-00003,Amazon Simple Storage Service,production
USE1-ReadCapacityUnit-Hrs,2026-06-08T00:00:00Z,2026-06-08T01:00:00Z,987654321098,876543210987,AWS Marketplace,5.197259,5.382143,USD,arn:aws:dynamodb:us-east-1:876543210987:resource/res-00003,Amazon DynamoDB,development
USE1-TimedStorage-ByteHrs,2026-06-08T00:00:00Z,2026-06-08T01:00:00Z,111122223333,444455556666,AWS,9.085934,9.569257,USD,arn:aws:simple-storage-service:us-east-1:444455556666:resource/res-00002,Amazon Simple Storage Service,production
Support Fee,2026-06-08T02:00:00Z,2026-06-08T03:00:00Z,987654321098,876543210987,AWS,162.723716,194.016132,USD,arn:aws:support-(business):us-east-1:876543210987:resource/res-00001,AWS Support (Business),
USE1-Request,2026-06-08T06:00:00Z,2026-06-08T07:00:00Z,111122223333,444455556666,AWS,1.39544,1.651147,USD,arn:aws:lambda:us-east-1:444455556666:resource/res-00004,AWS Lambda,production
USE1-LoadBalancerUsage,2026-06-08T10:00:00Z,2026-06-08T11:00:00Z,123456789012,345678901234,AWS,1.051775,1.408637,USD,arn:aws:elastic-load-balancing:us-east-1:345678901234:resource/res-00006,Amazon Elastic Load Balancing,staging
Refund - USE1-WriteCapacityUnit-Hrs,2026-06-08T16:00:00Z,2026-06-08T17:00:00Z,987654321098,876543210987,AWS,-3.443651,-3.7893239999999997,USD,arn:aws:dynamodb:us-east-1:876543210987:resource/res-00004,Amazon DynamoDB,development
USE1-Requests-Tier2,2026-06-08T17:00:00Z,2026-06-08T18:00:00Z,987654321098,876543210987,AWS,3.246083,3.393275,USD,arn:aws:simple-storage-service:us-east-1:876543210987:resource/res-00003,Amazon Simple Storage Service,development
USE1-BoxUsage:c5.xlarge,2026-06-08T21:00:00Z,2026-06-08T22:00:00Z,987654321098,765432109876,AWS,2.802142,2.878576,USD,arn:aws:elastic-compute-cloud:us-east-1:765432109876:resource/res-00003,Amazon Elastic Compute Cloud,qa
USE1-Requests-HTTPS-Proxy,2026-06-09T01:00:00Z,2026-06-09T02:00:00Z,111122223333,444455556666,AWS,0.471102,0.593071,USD,arn:aws:cloudfront:us-east-1:444455556666:resource/res-00015,Amazon CloudFront,
USE1-Requests-HTTPS-Proxy,2026-06-09T02:00:00Z,2026-06-09T03:00:00Z,111122223333,444455556666,AWS,1.62482,2.07132,USD,arn:aws:cloudfront:us-east-1:444455556666:resource/res-00004,Amazon CloudFront,qa
USE1-Requests-Tier2,2026-06-09T05:00:00Z,2026-06-09T06:00:00Z,111122223333,444455556666,AWS,0.791866,0.878136,USD,arn:aws:simple-storage-service:us-east-1:444455556666:resource/res-00010,Amazon Simple Storage Service,qa
USE1-LoadBalancerUsage,2026-06-09T05:00:00Z,2026-06-09T06:00:00Z,987654321098,765432109876,AWS,0.634588,0.798351,USD,arn:aws:elastic-load-balancing:us-east-1:765432109876:resource/res-00002,Amazon Elastic Load Balancing,staging
USE1-Request,2026-06-09T09:00:00Z,2026-06-09T10:00:00Z,123456789012,345678901234,AWS,1.080826,1.263408,USD,arn:aws:lambda:us-east-1:345678901234:resource/res-00001,AWS Lambda,production
Refund - USE1-Lambda-GB-Second,2026-06-09T12:00:00Z,2026-06-09T13:00:00Z,111122223333,444455556666,AWS,-1.656492,-1.6763733,USD,arn:aws:lambda:us-east-1:444455556666:resource/res-00001,AWS Lambda,development
USE1-LCUUsage,2026-06-09T14:00:00Z,2026-06-09T15:00:00Z,123456789012,345678901234,AWS,1.845209,2.124243,USD,arn:aws:elastic-load-balancing:us-east-1:345678901234:resource/res-00005,Amazon Elastic Load Balancing,staging
USE1-Request,2026-06-09T18:00:00Z,2026-06-09T19:00:00Z,987654321098,876543210987,AWS,1.586276,1.697545,USD,arn:aws:lambda:us-east-1:876543210987:resource/res-00004,AWS Lambda,qa
USE1-WriteCapacityUnit-Hrs,2026-06-09T23:00:00Z,2026-06-10T00:00:00Z,111122223333,444455556666,AWS Marketplace,5.347598,5.691614,USD,arn:aws:dynamodb:us-east-1:444455556666:resource/res-00005,Amazon DynamoDB,
Support Fee,2026-06-10T01:00:00Z,2026-06-10T02:00:00Z,111122223333,444455556666,AWS,23.421224,28.615043,USD,arn:aws:support-(business):us-east-1:444455556666:resource/res-00009,AWS Support (Business),staging
USE1-Request,2026-06-10T05:00:00Z,2026-06-10T06:00:00Z,987654321098,765432109876,AWS,2.31192,2.616892,USD,arn:aws:lambda:us-east-1:765432109876:resource/res-00010,AWS Lambda,qa
USE1-ReadCapacityUnit-Hrs,2026-06-10T07:00:00Z,2026-06-10T08:00:00Z,123456789012,345678901234,AWS,1.931987,1.93271,USD,arn:aws:dynamodb:us-east-1:345678901234:resource/res-00001,Amazon DynamoDB,
USE1-Requests-Tier2,2026-06-10T10:00:00Z,2026-06-10T11:00:00Z,123456789012,345678901234,AWS,8.833018,9.390239,USD,arn:aws:simple-storage-service:us-east-1:345678901234:resource/res-00005,Amazon Simple Storage Service,qa
USE1-TimedStorage-ByteHrs,2026-06-10T10:00:00Z,2026-06-10T11:00:00Z,123456789012,234567890123,AWS,0.815076,0.990821,USD,arn:aws:dynamodb:us-east-1:234567890123:resource/res-00002,Amazon DynamoDB,production
USE1-Requests-HTTPS-Proxy,2026-06-10T12:00:00Z,2026-06-10T13:00:00Z,123456789012,345678901234,AWS,1.120781,1.426383,USD,arn:aws:cloudfront:us-east-1:345678901234:resource/res-00001,Amazon CloudFront,staging
USE1-LCUUsage,2026-06-10T13:00:00Z,2026-06-10T14:00:00Z,123456789012,234567890123,AWS Marketplace,0.318688,0.376953,USD,arn:aws:elastic-load-balancing:us-east-1:234567890123:resource/res-00001,Amazon Elastic Load Balancing,qa
USE1-BoxUsage:m5.large,2026-06-10T18:00:00Z,2026-06-10T19:00:00Z,987654321098,765432109876,AWS,3.012173,3.700062,USD,arn:aws:elastic-compute-cloud:us-east-1:765432109876:resource/res-00006,Amazon Elastic Compute Cloud,
USE1-DataTransfer-Out-Bytes,2026-06-10T20:00:00Z,2026-06-10T21:00:00Z,111122223333,444455556666,AWS,1.048075,1.369468,USD,arn:aws:cloudfront:us-east-1:444455556666:resource/res-00003,Amazon CloudFront,qa
USE1-Requests-HTTPS-Proxy,2026-06-10T20:00:00Z,2026-06-10T21:00:00Z,987654321098,765432109876,AWS,0.321179,0.340988,USD,arn:aws:cloudfront:us-east-1:765432109876:resource/res-00001,Amazon CloudFront,qa
USE1-DataTransfer-Out-Bytes,2026-06-10T21:00:00Z,2026-06-10T22:00:00Z,987654321098,876543210987,AWS,1.048971,1.089328,USD,arn:aws:cloudfront:us-east-1:876543210987:resource/res-00005,Amazon CloudFront,
USE1-TimedStorage-ByteHrs,2026-06-10T22:00:00Z,2026-06-10T23:00:00Z,123456789012,234567890123,AWS Marketplace,6.833018,6.922921,USD,arn:aws:simple-storage-service:us-east-1:234567890123:resource/res-00001,Amazon Simple Storage Service,development
USE1-LoadBalancerUsage,2026-06-11T01:00:00Z,2026-06-11T02:00:00Z,123456789012,234567890123,AWS,0.316713,0.414723,USD,arn:aws:elastic-load-balancing:us-east-1:234567890123:resource/res-00002,Amazon Elastic Load Balancing,qa
USE1-LCUUsage,2026-06-11T08:00:00Z,2026-06-11T09:00:00Z,987654321098,876543210987,AWS Marketplace,0.653956,0.69717,USD,arn:aws:elastic-load-balancing:us-east-1:876543210987:resource/res-00003,Amazon Elastic Load Balancing,qa
USE1-Requests-Tier2,2026-06-11T10:00:00Z,2026-06-11T11:00:00Z,123456789012,234567890123,AWS,8.173147,8.279363,USD,arn:aws:simple-storage-service:us-east-1:234567890123:resource/res-00004,Amazon Simple Storage Service,development
USE1-StorageUsage,2026-06-11T12:00:00Z,2026-06-11T13:00:00Z,987654321098,765432109876,AWS,1.100884,1.205344,USD,arn:aws:relational-database-service:us-east-1:765432109876:resource/res-00003,Amazon Relational Database Service,staging
USE1-LoadBalancerUsage,2026-06-11T14:00:00Z,2026-06-11T15:00:00Z,111122223333,444455556666,AWS,0.387742,0.393469,USD,arn:aws:elastic-load-balancing:us-east-1:444455556666:resource/res-00002,Amazon Elastic Load Balancing,production
USE1-LoadBalancerUsage,2026-06-11T15:00:00Z,2026-06-11T16:00:00Z,111122223333,444455556666,AWS,0.446822,0.471751,USD,arn:aws:elastic-load-balancing:us-east-1:444455556666:resource/res-00012,Amazon Elastic Load Balancing,production
Refund - USE1-InstanceUsage:db.r5.large,2026-06-11T16:00:00Z,2026-06-11T17:00:00Z,123456789012,345678901234,AWS Marketplace,-3.798682,-4.5619758,USD,arn:aws:relational-database-service:us-east-1:345678901234:resource/res-00006,Amazon Relational Database Service,staging
USE1-ReadCapacityUnit-Hrs,2026-06-11T19:00:00Z,2026-06-11T20:00:00Z,987654321098,765432109876,AWS,5.307783,6.568841,USD,arn:aws:dynamodb:us-east-1:765432109876:resource/res-00006,Amazon DynamoDB,development
Refund - USE1-TimedStorage-ByteHrs,2026-06-11T20:00:00Z,2026-06-11T21:00:00Z,111122223333,444455556666,AWS Marketplace,-4.252896,-4.7572353,USD,arn:aws:simple-storage-service:us-east-1:444455556666:resource/res-00013,Amazon Simple Storage Service,qa
USE1-EBS:VolumeUsage.gp3,2026-06-11T20:00:00Z,2026-06-11T21:00:00Z,987654321098,876543210987,AWS,2.64702,2.655701,USD,arn:aws:elastic-compute-cloud:us-east-1:876543210987:resource/res-00004,Amazon Elastic Compute Cloud,
USE1-ReadCapacityUnit-Hrs,2026-06-11T23:00:00Z,2026-06-12T00:00:00Z,987654321098,765432109876,AWS,3.131725,3.269897,USD,arn:aws:dynamodb:us-east-1:765432109876:resource/res-00004,Amazon DynamoDB,staging
USE1-DataTransfer-Out-Bytes,2026-06-12T02:00:00Z,2026-06-12T03:00:00Z,111122223333,444455556666,AWS,0.180441,0.234516,USD,arn:aws:cloudfront:us-east-1:444455556666:resource/res-00001,Amazon CloudFront,qa
USE1-Request,2026-06-12T03:00:00Z,2026-06-12T04:00:00Z,987654321098,876543210987,AWS,1.90709,2.201013,USD,arn:aws:lambda:us-east-1:876543210987:resource/res-00010,AWS Lambda,qa
